# MPT_ID	px1 px2
80025  12.5 15.5
80026  15.5 18.5
80024  10.5 14.5
80007  12.5 16.5
80042  13.5 17.5
80041  13.5 16.5
80099  14.5 18.5
80142  12.5 15.5
80445  10.5 14.5
80432   9.5 14.5
80220  14.5 17.5
1672   12.5 17.5
2695    9.5 13.5
81018  11.5 15.5
1334   12.5 17.5  # AGN?
81032  10.5 14.5
1756   15.5 19.5
2140   16.5 19.5
81049  12.5 17.5
81068  13.5 17.5
80567  12.5 15.5
80576  11.5 14.5
80610  12.5 16.5  # Very faint continuum?
81011  12.5 15.5  # Affected by strong negative traces in the red.
81063  16.5 19.5
1211   15.5 19.5  # Affected by neighbor.
80573   9.5 12.5
80575  13.5 17.5
80596  11.5 15.5
3328   15.5 18.5
3527	12.5	15.5
3962	12.5	15.5
3902	13.5	17.5
3971	14.5	18.5
4745	11.5	15.5
4992	13.5	17.5
4959	15.5	19.5
4985	12.5	16.5
5337	12.5	15.5
5884	18.5	20.5
6192	15.5	19.5
7468	16.5	18.5
7093	12.5	16.5
6588	12.5	15.5
6833	10.5	14.5
6507	13.5	17.5
7887	13.5	17.5
7571	11.5	15.5
7719	7.5	11.5
83779	7.5	11.5
22231	11.5 15.5
85836	8.5	11.5
82055	13.5  17.5
82116	12.5  16.5
82069	13.5	17.5
83856	15.5	19.5
83764	9.5	13.5
84659	13.5  17.5
85713	8.5	11.5
85788	12.5	15.5
83666	9.5	13.5
11792	14.5	18.5
82052	11.5	14.5
82043	14.5	18.5
84677	14.5	17.5
12405	15.5	19.5
82171	13.5	16.5
82167	13.5	17.5
83860	10.5	13.5
84589	15.5  19.5
84672	12.5  16.5
84603	7.5	10.5
85865	12.5	16.5
82085	14.5  18.5
82186	12.5  16.5
84555	13.5	18.5
12213	10.5	13.5
85815	10.5	14.5
84534	13.5	17.5
84553	15.5  19.5
82145	13.5	17.5
84616	14.5  18.5
82077	12.5  16.5
14662	11.5	14.5
14785	12.5	17.5
11739	13.5	17.5
8288	13.5	18.5
13900	20.5	23.5
14236	12.5	16.5
14000	12.5	16.5
14216	9.5	12.5
13953	15.5	18.5
14489	10.5	14.5
11502	12.5  16.5
13859	12.5  16.5
12221	11.5	15.5
11150	11.5	15.5
14180	13.5	16.5
2630	13.5	17.5
81026	11.5	16.5
81022	11.5	14.5
4487	9.5	12.5
3192	15.5	20.5
5530	12.5	15.5
6430	12.5	15.5
7193	12.5	16.5
6731	8.5	11.5
82168	13.5  17.5
82135	13.5  17.5
83772	15.5	18.5
82049	14.5	18.5
10895	14.5	18.5
9116	11.5	16.5
13879	12.5  16.5
8683	15.5	17.5
15924	9.5	12.5
16362	13.5  17.5
18831	13.5	17.5
18466	15.5	19.5
16207	14.5	18.5
16384	11.5	14.5
15972	22.5	25.5
27555	13.5	17.5
24321	13.5	17.5
29001	10.5	14.5
27630	8.5	12.5
25510	6.5	10.5
26139	13.5	16.5
27455	13.5	16.5
29401	12.5	16.5
29044	12.5	16.5
24117	14.5	18.5
35887	6.5	10.5
25742	12.5	15.5
30248	13.5	16.5
23963	11.5	15.5
30189	15.5  19.5
29542	11.5	14.5
24324	16.5	19.5
29986	11.5	15.5
36438	7.5	11.5
36509	15.5	19.5
40413	16.5	19.5
40257	10.5	16.5
40774	15.5	20.5
39975	13.5	17.5
45054	12.5	16.5
42238	11.5	15.5
