MPT_ID,px1_PRISM,px2_PRISM
717,11.5,15.5
7,16.5,21.5
2170,14.5,18.5
2,7.5,11.5
3,14.5,18.5
9,15.5,19.5
716,6.5,11.5
749,15.5,18.5
853,12.5,16.5
2355,16.5,21.5
40,12.5,16.5
44,15.5,19.5
52,11.5,15.5
64,15.5,19.5
67,14.5,18.5
99,13.5,17.5
113,14.5,18.5
167,14.5,18.5
171,13.5,16.5
176,12.5,16.5
177,15.5,19.5
1142,14.5,17.5
1163,13.5,17.5
1467,15.5,19.5
1518,13.5,18.5
1565,14.5,18.5
1626,11.5,14.5
1699,13.5,18.5
1912,16.5,21.5
1953,14.5,17.5
2036,15.5,18.5
2089,15.5,21.5
2320,14.5,18.5
4458,16.5,19.5
2968,14.5,17.5
3212,15.5,20.5
3530,13.5,16.5
3538,15.5,19.5
3560,15.5,19.5
3567,10.5,14.5
3584,13.5,17.5
3585,12.5,18.5
3587,14.5,18.5
3818,10.5,16.5
3939,14.5,17.5
4370,10.5,14.5
4402,11.5,15.5
4611,10.5,14.5
4733,11.5,15.5
4739,13.5,17.5
4755,10.5,14.5
4778,8.5,12.5
5117,10.5,14.5
5123,11.5,14.5
5460,12.5,16.5
5618,13.5,16.5
5640,11.5,15.5
5995,16.5,19.5
6162,10.5,14.5
6690,13.5,17.5
6959,13.5,17.5
7543,14.5,17.5
7668,13.5,17.5
8698,14.5,17.5
8835,10.5,14.5
8934,13.5,17.5
8978,9.5,13.5
9141,8.5,12.5
9162,15.5,18.5
9186,11.5,15.5
9292,14.5,19.5
9306,10.5,13.5
9411,10.5,13.5
9433,15.5,18.5
9473,12.5,15.5
9567,18.5,21.5
9612,18.5,21.5
9619,14.5,17.5
9761,12.5,16.5
9780,15.5,19.5
9950,15.5,19.5
10318,13.5,18.5
11624,9.5,13.5
11668,13.5,17.5
11753,11.5,15.5
11880,11.5,15.5
11937,12.5,16.5
12025,16.5,20.5
12152,10.5,14.5
12323,11.5,15.5
12422,15.5,18.5
12771,15.5,18.5
12995,13.5,16.5
13036,14.5,18.5
13282,15.5,19.5
13656,15.5,19.5
14754,12.5,16.5
14777,17.5,21.5
14867,14.5,18.5
14901,16.5,19.5
14923,14.5,18.5
15384,12.5,16.5
2269,11.5,16.5
18111,13.5,17.5
18452,14.5,18.5
18491,8.5,12.5
18495,10.5,14.5
19334,14.5,18.5
19368,15.5,19.5
19804,15.5,18.5
19980,14.5,18.5
20406,15.5,18.5
20452,13.5,16.5
21234,14.5,17.5
21951,11.5,14.5
22772,13.5,16.5
22800,12.5,16.5
23018,13.5,16.5
23275,14.5,17.5
27278,10.5,14.5
28431,9.5,12.5
28635,14.5,18.5
29194,14.5,18.5
30063,12.5,16.5
30152,18.5,21.5
30195,18.5,22.5
30715,14.5,17.5
30787,17.5,21.5
31023,18.5,22.5
31117,15.5,18.5
31252,8.5,12.5
31293,10.5,14.5
31329,11.5,16.5
31404,12.5,16.5
31789,14.5,17.5
31799,10.5,14.5
32304,13.5,16.5
32777,16.5,20.5
33956,14.5,18.5
34103,13.5,17.5
34645,14.5,18.5
34698,14.5,18.5
35030,13.5,17.5
37304,14.5,18.5
37705,16.5,19.5
37892,12.5,16.5
38114,12.5,16.5
38256,12.5,16.5
38389,12.5,15.5
38794,13.5,17.5
41792,9.5,12.5
41989,14.5,18.5
42346,12.5,17.5
42379,12.5,16.5
42475,12.5,16.5
42752,14.5,17.5
43262,14.5,18.5
43450,13.5,16.5
43461,16.5,21.5
44055,14.5,18.5
44309,18.5,21.5
