MPT_ID,px1_G140M,px2_G140M,px1_G235M,px2_G235M,px1_G395M,px2_G395M
717,14.5,19.5,14.5,19.5,14.5,19.5
1149,13.5,18.5,13.5,18.5,13.5,18.5

1143,12.5,18.5,12.5,18.5,12.5,18.5
1173,8.5,12.5,8.5,12.5,8.5,12.5
1236,9.5,13.5,9.5,13.5,9.5,13.5
1358,16.5,20.5,16.5,20.5,16.5,20.5
1400,12.5,16.5,12.5,16.5,12.5,16.5
1414,12.5,18.5,12.5,18.5,12.5,18.5
1420,15.5,21.5,15.5,21.5,15.5,21.5
1449,14.5,18.5,14.5,18.5,14.5,18.5
1544,16.5,20.5,10.5,14.5,16.5,20.5
1559,12.5,16.5,6.5,10.5,12.5,16.5
1605,15.5,19.5,15.5,19.5,8.5,12.5
1617,13.5,17.5,13.5,17.5,13.5,17.5
1706,14.5,18.5,14.5,18.5,14.5,18.5
1836,16.5,20.5,16.5,20.5,16.5,20.5
2174,14.5,18.5,14.5,18.5,14.5,18.5
2182,14.5,19.5,14.5,19.5,14.5,19.5
2693,13.5,18.5,13.5,18.5,13.5,18.5
2900,10.5,15.5,10.5,15.5,10.5,15.5
2989,12.5,16.5,12.5,16.5,12.5,16.5
3051,16.5,20.5,16.5,20.5,16.5,20.5
3181,14.5,18.5,14.5,18.5,14.5,18.5
3530,16.5,20.5,10.5,14.5,16.5,20.5
3537,8.5,12.5,8.5,12.5,8.5,12.5
3706,9.5,14.5,9.5,14.5,9.5,14.5
4386,13.5,17.5,13.5,17.5,13.5,17.5
4945,9.5,14.5,3.5,8.5,9.5,14.5
5632,13.5,17.5,13.5,17.5,13.5,17.5
6265,12.5,16.5,12.5,16.5,12.5,16.5
6540,11.5,16.5,11.5,16.5,11.5,16.5
7975,11.5,16.5,11.5,16.5,11.5,16.5
8299,6.5,10.5,6.5,10.5,6.5,10.5
8997,14.5,18.5,9.5,13.5,14.5,18.5
9052,12.5,17.5,12.5,17.5,12.5,17.5
9238,14.5,19.5,14.5,19.5,14.5,19.5
11728,15.5,19.5,15.5,19.5,15.5,19.5
12496,13.5,17.5,13.5,17.5,13.5,17.5
16551,11.5,15.5,11.5,15.5,11.5,15.5
17056,13.5,17.5,13.5,17.5,13.5,17.5
17186,10.5,14.5,5.5,9.5,10.5,14.5
17463,11.5,15.5,11.5,15.5,11.5,15.5
22142,10.5,14.5,10.5,14.5,10.5,14.5
23542,12.5,16.5,12.5,16.5,12.5,16.5
26594,13.5,17.5,13.5,17.5,13.5,17.5
29756,12.5,15.5,12.5,15.5,12.5,15.5
30041,16.5,20.5,16.5,20.5,16.5,20.5
31057,14.5,18.5,14.5,18.5,14.5,18.5
36785,14.5,18.5,8.5,12.5,14.5,18.5
37597,14.5,18.5,8.5,12.5,14.5,18.5
40781,16.5,20.5,16.5,20.5,16.5,20.5
44804,9.5,12.5,9.5,12.5,9.5,12.5
