           sample     id                                                                      file    MSA        disp   pointing  ext  redshift  alias                                                                                                  file_path
0     CEERs_DR0.7      0          hlsp_ceers_jwst_nirspec_nirspec5-000000_comb-mgrat_v0.7_s2d.fits      0  comb-mgrat   nirspec5  s2d       NaN    NaN           CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000000_comb-mgrat_v0.7_s2d.fits
1     CEERs_DR0.7      0   hlsp_ceers_jwst_nirspec_nirspec5-000000_comb-mgrat_v0.7_x1d-masked.fits      0  comb-mgrat   nirspec5  x1d       NaN    NaN    CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000000_comb-mgrat_v0.7_x1d-masked.fits
2     CEERs_DR0.7      0               hlsp_ceers_jwst_nirspec_nirspec5-000000_g140m_v0.7_s2d.fits      0       g140m   nirspec5  s2d       NaN    NaN                     CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000000_g140m_v0.7_s2d.fits
3     CEERs_DR0.7      0        hlsp_ceers_jwst_nirspec_nirspec5-000000_g140m_v0.7_x1d-masked.fits      0       g140m   nirspec5  x1d       NaN    NaN              CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000000_g140m_v0.7_x1d-masked.fits
4     CEERs_DR0.7      0               hlsp_ceers_jwst_nirspec_nirspec5-000000_g235m_v0.7_s2d.fits      0       g235m   nirspec5  s2d       NaN    NaN                     CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000000_g235m_v0.7_s2d.fits
5     CEERs_DR0.7      0        hlsp_ceers_jwst_nirspec_nirspec5-000000_g235m_v0.7_x1d-masked.fits      0       g235m   nirspec5  x1d       NaN    NaN              CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000000_g235m_v0.7_x1d-masked.fits
6     CEERs_DR0.7      0               hlsp_ceers_jwst_nirspec_nirspec5-000000_g395m_v0.7_s2d.fits      0       g395m   nirspec5  s2d       NaN    NaN                     CEERs_DR0.7/nirspec5/g395m/hlsp_ceers_jwst_nirspec_nirspec5-000000_g395m_v0.7_s2d.fits
7     CEERs_DR0.7      0        hlsp_ceers_jwst_nirspec_nirspec5-000000_g395m_v0.7_x1d-masked.fits      0       g395m   nirspec5  x1d       NaN    NaN              CEERs_DR0.7/nirspec5/g395m/hlsp_ceers_jwst_nirspec_nirspec5-000000_g395m_v0.7_x1d-masked.fits
8     CEERs_DR0.7      2               hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_v0.7_s2d.fits      2       prism   nirspec5  s2d  8.806666    NaN                     CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_v0.7_s2d.fits
9     CEERs_DR0.7      2        hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_v0.7_x1d-masked.fits      2       prism   nirspec5  x1d  8.806666    NaN              CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_v0.7_x1d-masked.fits
10    CEERs_DR0.7      3               hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_v0.7_s2d.fits      3       prism   nirspec5  s2d  8.003027    NaN                     CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_v0.7_s2d.fits
11    CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_v0.7_x1d-masked.fits      3       prism   nirspec5  x1d  8.003027    NaN              CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_v0.7_x1d-masked.fits
12    CEERs_DR0.7      4          hlsp_ceers_jwst_nirspec_nirspec5-000004_comb-mgrat_v0.7_s2d.fits      4  comb-mgrat   nirspec5  s2d  7.991186    NaN           CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000004_comb-mgrat_v0.7_s2d.fits
13    CEERs_DR0.7      4   hlsp_ceers_jwst_nirspec_nirspec5-000004_comb-mgrat_v0.7_x1d-masked.fits      4  comb-mgrat   nirspec5  x1d  7.991186    NaN    CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000004_comb-mgrat_v0.7_x1d-masked.fits
14    CEERs_DR0.7      4               hlsp_ceers_jwst_nirspec_nirspec5-000004_g140m_v0.7_s2d.fits      4       g140m   nirspec5  s2d  7.991186    NaN                     CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000004_g140m_v0.7_s2d.fits
15    CEERs_DR0.7      4        hlsp_ceers_jwst_nirspec_nirspec5-000004_g140m_v0.7_x1d-masked.fits      4       g140m   nirspec5  x1d  7.991186    NaN              CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000004_g140m_v0.7_x1d-masked.fits
16    CEERs_DR0.7      4               hlsp_ceers_jwst_nirspec_nirspec5-000004_g235m_v0.7_s2d.fits      4       g235m   nirspec5  s2d  7.991186    NaN                     CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000004_g235m_v0.7_s2d.fits
17    CEERs_DR0.7      4        hlsp_ceers_jwst_nirspec_nirspec5-000004_g235m_v0.7_x1d-masked.fits      4       g235m   nirspec5  x1d  7.991186    NaN              CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000004_g235m_v0.7_x1d-masked.fits
18    CEERs_DR0.7      4               hlsp_ceers_jwst_nirspec_nirspec5-000004_g395m_v0.7_s2d.fits      4       g395m   nirspec5  s2d  7.991186    NaN                     CEERs_DR0.7/nirspec5/g395m/hlsp_ceers_jwst_nirspec_nirspec5-000004_g395m_v0.7_s2d.fits
19    CEERs_DR0.7      4        hlsp_ceers_jwst_nirspec_nirspec5-000004_g395m_v0.7_x1d-masked.fits      4       g395m   nirspec5  x1d  7.991186    NaN              CEERs_DR0.7/nirspec5/g395m/hlsp_ceers_jwst_nirspec_nirspec5-000004_g395m_v0.7_x1d-masked.fits
20    CEERs_DR0.7      7          hlsp_ceers_jwst_nirspec_nirspec5-000007_comb-mgrat_v0.7_s2d.fits      7  comb-mgrat   nirspec5  s2d  8.881492    NaN           CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000007_comb-mgrat_v0.7_s2d.fits
21    CEERs_DR0.7      7   hlsp_ceers_jwst_nirspec_nirspec5-000007_comb-mgrat_v0.7_x1d-masked.fits      7  comb-mgrat   nirspec5  x1d  8.881492    NaN    CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000007_comb-mgrat_v0.7_x1d-masked.fits
22    CEERs_DR0.7      7               hlsp_ceers_jwst_nirspec_nirspec5-000007_g140m_v0.7_s2d.fits      7       g140m   nirspec5  s2d  8.881492    NaN                     CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000007_g140m_v0.7_s2d.fits
23    CEERs_DR0.7      7        hlsp_ceers_jwst_nirspec_nirspec5-000007_g140m_v0.7_x1d-masked.fits      7       g140m   nirspec5  x1d  8.881492    NaN              CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000007_g140m_v0.7_x1d-masked.fits
24    CEERs_DR0.7      7               hlsp_ceers_jwst_nirspec_nirspec5-000007_g235m_v0.7_s2d.fits      7       g235m   nirspec5  s2d  8.881492    NaN                     CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000007_g235m_v0.7_s2d.fits
25    CEERs_DR0.7      7        hlsp_ceers_jwst_nirspec_nirspec5-000007_g235m_v0.7_x1d-masked.fits      7       g235m   nirspec5  x1d  8.881492    NaN              CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000007_g235m_v0.7_x1d-masked.fits
26    CEERs_DR0.7      7               hlsp_ceers_jwst_nirspec_nirspec5-000007_g395m_v0.7_s2d.fits      7       g395m   nirspec5  s2d  8.881492    NaN                     CEERs_DR0.7/nirspec5/g395m/hlsp_ceers_jwst_nirspec_nirspec5-000007_g395m_v0.7_s2d.fits
27    CEERs_DR0.7      7        hlsp_ceers_jwst_nirspec_nirspec5-000007_g395m_v0.7_x1d-masked.fits      7       g395m   nirspec5  x1d  8.881492    NaN              CEERs_DR0.7/nirspec5/g395m/hlsp_ceers_jwst_nirspec_nirspec5-000007_g395m_v0.7_x1d-masked.fits
28    CEERs_DR0.7      7               hlsp_ceers_jwst_nirspec_nirspec5-000007_prism_v0.7_s2d.fits      7       prism   nirspec5  s2d  8.881492    NaN                     CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000007_prism_v0.7_s2d.fits
29    CEERs_DR0.7      7        hlsp_ceers_jwst_nirspec_nirspec5-000007_prism_v0.7_x1d-masked.fits      7       prism   nirspec5  x1d  8.881492    NaN              CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000007_prism_v0.7_x1d-masked.fits
30    CEERs_DR0.7      9               hlsp_ceers_jwst_nirspec_nirspec5-000009_prism_v0.7_s2d.fits      9       prism   nirspec5  s2d  9.405909    NaN                     CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000009_prism_v0.7_s2d.fits
31    CEERs_DR0.7      9        hlsp_ceers_jwst_nirspec_nirspec5-000009_prism_v0.7_x1d-masked.fits      9       prism   nirspec5  x1d  9.405909    NaN              CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000009_prism_v0.7_x1d-masked.fits
32    CEERs_DR0.7     20          hlsp_ceers_jwst_nirspec_nirspec4-000020_comb-mgrat_v0.7_s2d.fits     20  comb-mgrat   nirspec4  s2d  7.802760    NaN           CEERs_DR0.7/nirspec4/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec4-000020_comb-mgrat_v0.7_s2d.fits
