           sample     id                                                                       file          line  wavelength     intg_flux  intg_flux_err    gauss_flux  gauss_flux_err           eqw       eqw_err particle                                  latex_label                       profile_label pixel_mask            w1            w2            w3            w4            w5            w6           w_i           w_f     peak_wave     peak_flux          cont      std_cont        m_cont        n_cont      snr_line      snr_cont    z_line           amp        center        sigma       amp_err    center_err     sigma_err           v_r       v_r_err     sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels    pixel_vel     FWHM_intg         FWHM_g           FWZI        v_med         v_50           v_1          v_5         v_10         v_90          v_95          v_99         chisqr       redchi         aic         bic  observations comments
0     CEERs_DR0.7      2        hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_dr0.7_x1d_masked.fits      H1_4103A      4103.0  2.378110e-19   1.137613e-19  2.571089e-19    7.811306e-20  4.024597e+02  2.164866e+04       H1                                  $HI4103\AA$                                 NaN         no   3958.749581   3988.957020   4073.113163   4120.803044   4131.787848   4176.847280           NaN           NaN  40213.806734  1.158225e-21  8.535112e-23  4.649659e-22 -7.817219e-26  3.228953e-21  2.602296e+00  1.835640e-01  8.801074  1.180903e-21  40209.297875    86.858640  3.742514e-22  3.086810e+01  2.938553e+01    -33.613380  2.301205e+02    647.527984   2.190680e+02       9.082224          NaN       6.0   756.395071           NaN    1524.811877            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN       7.453743     0.621145   -4.490008   -2.365858            no       no
1     CEERs_DR0.7      2        hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_dr0.7_x1d_masked.fits      H1_4862A      4862.0  2.132636e-18   3.488899e-19  6.645498e-20    1.424266e-19 -4.467447e+02 -9.574652e+02       H1                                  $HI4862\AA$          O3_4960A+O3_5008A+H1_4862A         no   4760.161225   4813.150178   4839.820900   5057.358240   5066.566170   5129.870687           NaN           NaN  49127.981621  6.340298e-21 -1.487538e-22  7.967185e-22  4.147490e-26 -2.186332e-21  9.310730e-01 -1.867080e-01  8.807677  3.531395e-22  47684.927376    75.074304  7.569843e-22  1.393049e+01  1.406286e+01    -49.743686  8.756567e+01    471.909611   8.839776e+01       9.082224          NaN      26.0   507.754687           NaN    1111.262212            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      57.269794     1.590828   23.702251   32.270112            no       no
2     CEERs_DR0.7      2        hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_dr0.7_x1d_masked.fits      O3_4960A      4960.0  2.132636e-18   3.488899e-19  4.871404e-19    1.536308e-19 -3.274809e+03 -1.032786e+03       O3                              $[OIII]4960\AA$          O3_4960A+O3_5008A+H1_4862A         no   4760.161225   4813.150178   4839.820900   5057.358240   5066.566170   5129.870687           NaN           NaN  49127.981621  6.340298e-21 -1.487538e-22  7.967185e-22  4.147490e-26 -2.186332e-21  6.690269e+00 -1.867080e-01  8.807677  2.537501e-21  48646.079749    76.587525  8.028861e-22  1.421128e+01  1.434632e+01    -49.743743  8.756567e+01    471.909611   8.839776e+01       2.279635          NaN      26.0   507.754687           NaN    1111.262212            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      57.269794     1.590828   23.702251   32.270112            no       no
3     CEERs_DR0.7      2        hlsp_ceers_jwst_nirspec_nirspec5-000002_prism_dr0.7_x1d_masked.fits      O3_5008A      5008.0  2.132636e-18   3.488899e-19  1.148145e-18    2.002465e-19 -7.718424e+03 -1.346161e+03       O3                              $[OIII]5008\AA$          O3_4960A+O3_5008A+H1_4862A         no   4760.161225   4813.150178   4839.820900   5057.358240   5066.566170   5129.870687           NaN           NaN  49127.981621  6.340298e-21 -1.487538e-22  7.967185e-22  4.147490e-26 -2.186332e-21  1.561721e+01 -1.867080e-01  8.807677  5.923333e-21  49116.848038    77.328694  1.071455e-21  1.434881e+01  1.448515e+01    -49.745116  8.756567e+01    471.909609   8.839776e+01       2.279635          NaN      26.0   507.754687           NaN    1111.262207            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      57.269794     1.590828   23.702251   32.270112            no       no
4     CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_dr0.7_x1d_masked.fits     Ne5_3427A      3427.0  2.469266e-19   1.758529e-19  3.664630e-19    1.942502e-19 -2.826057e+03  6.719686e+04      Ne5                               $[NeV]3427\AA$                                 NaN         no   3160.183412   3293.604615   3373.848962   3465.250338   3801.992252   3941.499616           NaN           NaN  30733.058598  8.199197e-22 -4.081745e-22  4.849177e-22  5.043597e-26 -1.958226e-21  2.386238e+00 -8.417400e-01  7.967919  1.077643e-21  30820.219903   135.664225  5.706929e-22  8.347969e+01  8.212423e+01    850.234346  8.143212e+02   1323.366867   8.010991e+02       2.029830          NaN       7.0  1294.045439           NaN    3116.290825            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      37.014153     1.480566   13.814683   17.811297            no       no
5     CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_dr0.7_x1d_masked.fits    O2_3727A_b      3727.0  4.056599e-20   1.280347e-19  1.730020e-19    1.640254e-19  7.392523e+02  6.866492e+02       O2                               $[OII]3727\AA$                                 NaN         no   3521.184656   3611.286106   3694.246781   3763.791837   3838.513108   3967.971028           NaN           NaN  33539.209148  8.291700e-22  6.767340e-23  4.540791e-22 -7.322754e-26  2.523667e-21  2.829904e+00  1.490340e-01  7.998983  1.215576e-21  33594.355617    56.777882  7.327601e-21  6.823732e+01  2.973183e+02    492.930395  6.099438e+02    507.512887   2.657599e+03       2.279635          NaN       6.0  1091.365837           NaN    1195.101518            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      29.169387     1.389018   10.681583   14.215744            no       no
6     CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_dr0.7_x1d_masked.fits      H1_3971A      3971.0  1.628861e-19   1.389770e-19  2.668028e-19    9.520317e-20 -7.537898e+02  1.073710e+04       H1                                  $HI3971\AA$                                 NaN         no   3814.000000   3922.000000   3948.000000   4016.000000   4078.000000   4153.000000           NaN           NaN  35794.561992  1.359348e-21 -2.843560e-22  4.558995e-22 -8.562771e-26  2.780650e-21  4.990007e+00 -6.237250e-01  8.013992  2.099603e-21  35830.147863    50.694783  4.483171e-21  8.503124e+01  9.829546e+01    298.044589  7.121675e+02    424.587223   8.232601e+02       9.082224          NaN       7.0   956.697127           NaN     999.826503            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      21.021772     1.051089    3.931482    7.337965            no       no
7     CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_dr0.7_x1d_masked.fits      H1_4341A      4341.0 -2.273851e-19   1.901608e-19  3.300977e-19    1.665214e-19  7.833903e+05  2.482043e+07       H1                                  $HI4341\AA$                                 NaN         no   4197.046061   4279.702299   4300.399541   4393.256379   4448.592661   4535.363742           NaN           NaN  38973.617867  2.368162e-21  3.856788e-22  5.363954e-22  2.747504e-26 -6.851230e-22  5.187855e+00  7.190200e-01  7.978028  2.518878e-21  39014.393733    52.281174  6.005485e-21  6.180700e+01  1.271168e+02    313.655691  4.754312e+02    402.156705   9.778068e+02       9.082224          NaN       9.0   803.484657           NaN     947.006670            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      57.560481     2.502630   26.663232   30.437522            no       no
8     CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_dr0.7_x1d_masked.fits     He2_4686A      4686.0  2.806253e-19   1.751120e-19  3.665739e-19    1.491193e-19  2.155692e+04  6.709340e+05      He2                                $HeII4686\AA$                                 NaN         no   4550.000000   4632.000000   4638.000000   4717.000000   4755.000000   4843.000000           NaN           NaN  42098.791952  2.034046e-21 -1.094477e-24  6.118923e-22  1.594421e-25 -6.713413e-21  3.850834e+00 -1.789000e-03  7.983950  2.147770e-21  42073.174383    68.090074  8.944197e-22  3.243669e+01  3.464261e+01   -182.426945  2.309870e+02    484.880678   2.466957e+02       4.557702          NaN       8.0   689.156054           NaN    1141.806739            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      35.406492     1.609386   14.700484   18.357111            no       no
9     CEERs_DR0.7      3        hlsp_ceers_jwst_nirspec_nirspec5-000003_prism_dr0.7_x1d_masked.fits      H1_4862A      4862.0  3.221855e-19   1.358916e-19  3.744207e-19    8.704774e-20  3.931107e+02  1.989998e+04       H1                                  $HI4862\AA$                                 NaN         no   4765.150593   4834.985834   4843.095170   4880.781596   5031.921604   5118.682729           NaN           NaN  43811.492851  2.696737e-21  2.719837e-22  6.830988e-22  7.973858e-26 -3.221482e-21  4.403627e+00  3.981620e-01  8.011002  3.107852e-21  43770.733181    48.062857  3.169637e-21  1.616607e+01  5.165657e+01   -278.909497  1.106209e+02    328.883615   3.534746e+02       9.082224          NaN       5.0   635.547079           NaN     774.461728            NaN          NaN          NaN           NaN          NaN          NaN          NaN           NaN           NaN      15.051855     0.792203   -2.349907    0.923221            no       no
