    sample                    id                                                                   file         line  wavelength     intg_flux  intg_flux_err    gauss_flux  gauss_flux_err            eqw       eqw_err particle                    latex_label               profile_label pixel_mask            w1            w2            w3            w4            w5            w6           w_i           w_f     peak_wave     peak_flux          cont      std_cont        m_cont        n_cont    snr_line      snr_cont    z_line           amp        center       sigma       amp_err    center_err     sigma_err         v_r       v_r_err    sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels   pixel_vel    FWHM_intg       FWHM_g         FWZI        v_med        v_50          v_1          v_5         v_10         v_90         v_95         v_99       chisqr     redchi         aic         bic  observations comments
0    SMACS    1917_Visit_1_G235M     /SMACS/G235M/Visit_1/1917/G235M_Visit_1_s01917_x1d_masked_bpx.fits     S3_9533A      9533.0  1.347004e-18   1.320453e-19  1.452960e-18    2.063645e-19      32.556750  1.815324e+00       S3                $[SIII]9533\AA$                         NaN         no   9448.635683   9509.864560   9523.284520   9550.775093   9586.386898   9623.748862           NaN           NaN  21381.003775  1.003762e-19  4.125642e-20  4.419632e-21 -2.029949e-24  8.465877e-20   15.026384  9.334808e+00  1.242841  6.353944e-20  21385.477245    9.122639  9.453349e-21  1.482222e+00  1.524566e+00   62.724493  2.078288e+01   127.912534   2.137661e+01       1.610217          NaN       7.0  149.682544          NaN   301.211000          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    65.751588   3.287579   30.158961   33.565444            no       no
1    SMACS    1917_Visit_1_G235M     /SMACS/G235M/Visit_1/1917/G235M_Visit_1_s01917_x1d_masked_bpx.fits   He1_10833A     10833.0  1.130435e-18   1.116794e-19  1.221477e-18    1.720288e-19      36.498391  1.859903e+00      He1                  $HeI10833\AA$                         NaN         no  10722.736678  10791.572461  10818.767718  10847.502026  10970.231443  11043.615955           NaN           NaN  24295.992148  6.626015e-20  3.097481e-20  3.794609e-21  3.368931e-24 -5.087671e-20   10.325196  8.162845e+00  1.242776  3.664771e-20  24296.209174   13.296839  5.710308e-21  2.113451e+00  2.256115e+00    2.677922  2.607824e+01   164.072002   2.783859e+01       4.557702          NaN       7.0  131.569645          NaN   386.360039          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    98.725025   2.668244   42.138360   47.204999            no       no
2    SMACS    1917_Visit_1_G235M     /SMACS/G235M/Visit_1/1917/G235M_Visit_1_s01917_x1d_masked_bpx.fits    H1_10941A     10941.0  4.038541e-19   1.037956e-19  3.256791e-19    1.349641e-19      13.013332  2.812756e+00       H1                   $HI10941\AA$                         NaN         no  10720.442470  10778.669070  10934.136714  10966.029980  11006.496460  11117.881210           NaN           NaN  24541.222476  4.655890e-20  3.079065e-20  3.902807e-21 -8.797396e-25  5.238053e-20    5.474363  7.889360e+00  1.243051  1.925290e-20  24545.413615    6.748447  1.080148e-20  2.955514e+00  4.906733e+00   51.198426  3.610419e+01    82.438174   5.994002e+01       9.082224          NaN       7.0  130.239695          NaN   194.127066          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN   113.967473   2.779694   47.875832   53.228401            no       no
3    SMACS    1917_Visit_1_G235M     /SMACS/G235M/Visit_1/1917/G235M_Visit_1_s01917_x1d_masked_bpx.fits    H1_12822A     12822.0  1.298902e-18   1.250011e-19  1.307133e-18    2.656333e-19      78.801173  1.381140e+00       H1                   $HI12822\AA$                         NaN         no  12723.740754  12776.789043  12800.243610  12838.198740  12887.681280  12968.350743           NaN           NaN  28758.392245  5.104157e-20  1.640703e-20  3.734720e-21  8.906518e-24 -2.397301e-19    8.079356  4.393109e+00  1.242894  2.461498e-20  28758.054008   21.185084  5.305237e-21  4.955431e+00  5.052989e+00   -3.525954  5.165799e+01   220.844345   5.267499e+01       9.082224          NaN       9.0  110.912162          NaN   520.048691          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN   150.138022   4.057784   58.907022   63.973661            no       no
4    SMACS    1917_Visit_1_G395M     /SMACS/G395M/Visit_1/1917/G395M_Visit_1_s01917_x1d_masked_bpx.fits    H1_18756A     18756.0  1.564786e-18   9.093490e-20  1.544393e-18    9.799034e-20     177.085360  2.463407e+00       H1                   $HI18756\AA$                         NaN         no  18636.359259  18718.022357  18734.145044  18787.855263  18802.926820  18880.924169           NaN           NaN  42075.252256  4.437003e-20  8.881834e-21  1.512525e-21 -4.618219e-24  2.031946e-19   23.657493  5.872191e+00  1.243296  3.406406e-20  42073.962995   18.087209  2.430088e-21  1.336603e+00  1.231587e+00   -9.186177  9.523493e+00   128.874063   8.775244e+00       9.082224          NaN       8.0  127.711835          NaN   303.475227          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    43.054675   1.655949   17.460075   21.561962            no       no
5    SMACS    1917_Visit_1_G395M     /SMACS/G395M/Visit_1/1917/G395M_Visit_1_s01917_x1d_masked_bpx.fits    H1_21661A     21661.0  3.065665e-19   8.759417e-20  4.505814e-19    1.285755e-19      53.619135  1.024352e+01       H1                   $HI21661\AA$                         NaN         no  21525.638721  21597.327057  21633.661456  21689.917092  21692.355781  21735.702217           NaN           NaN  48610.721547  1.253150e-20  5.709456e-21  1.857474e-21  2.675251e-24 -1.243364e-19    5.254165  3.073774e+00  1.244159  7.755863e-21  48583.440735   23.176783  2.535953e-21  7.546922e+00  7.661346e+00 -168.246461  4.654344e+01   142.936056   4.724912e+01       9.082224          NaN       8.0  110.327668          NaN   336.588690          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    53.375998   2.541714   25.183376   28.717538            no       no
6    SMACS    1917_Visit_2_G235M     /SMACS/G235M/Visit_2/1917/G235M_Visit_2_s01917_x1d_masked_bpx.fits     S3_9533A      9533.0  1.748668e-18   1.444940e-19  1.695163e-18    1.881967e-19      40.806295  1.778419e+00       S3                $[SIII]9533\AA$                         NaN         no   9437.312393   9492.633695   9512.797266   9546.274879   9555.767199   9603.905521           NaN           NaN  21387.901885  1.065005e-19  4.277186e-20  4.323721e-21  1.344881e-23 -2.448699e-19   17.076506  9.892373e+00  1.243565  6.805239e-20  21383.549173    9.937525  7.991691e-21  1.281434e+00  1.247083e+00  -61.011606  1.796176e+01   139.293468   1.748025e+01       1.610217          NaN       8.0  149.634668          NaN   328.011052          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    69.941259   2.411768   31.021435   35.418642            no       no
7    SMACS    1917_Visit_2_G235M     /SMACS/G235M/Visit_2/1917/G235M_Visit_2_s01917_x1d_masked_bpx.fits   He1_10833A     10833.0  3.025917e-19   1.056420e-19  4.021775e-19    1.765846e-19       9.535729  2.886134e+00      He1                  $HeI10833\AA$                         NaN         no  10753.419250  10794.263650  10814.707035  10841.574342  10905.143823  10993.644171           NaN           NaN  24302.879961  5.055289e-20  3.124088e-20  3.786397e-21 -9.976671e-24  2.737027e-19    5.439557  8.250819e+00  1.243412  2.085963e-20  24304.161679    7.691679  9.754521e-21  4.030636e+00  3.521654e+00   15.810857  4.972062e+01    94.882063   4.344199e+01       4.557702          NaN       6.0  131.532165          NaN   223.430185          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN   130.503997   4.209806   51.731473   56.310555            no       no
8    SMACS    1917_Visit_2_G395M     /SMACS/G395M/Visit_2/1917/G395M_Visit_2_s01917_x1d_masked_bpx.fits    H1_18756A     18756.0  1.511864e-18   8.398116e-20  1.373779e-18    1.153366e-19     219.256566  6.635196e+00       H1                   $HI18756\AA$                         NaN         no  18600.898434  18679.873508  18736.623575  18792.005727  18805.138831  18896.735289           NaN           NaN  42071.790192  4.050501e-20  6.921121e-21  1.506873e-21 -2.457965e-24  1.103321e-19   25.672341  4.593034e+00  1.243111  3.501378e-20  42072.665928   15.652646  3.470027e-21  1.493908e+00  1.499006e+00    6.240261  1.064519e+01   111.536620   1.068152e+01       9.082224          NaN       8.0  127.722142          NaN   262.648669          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    90.271414   3.223979   39.133843   43.435805            no       no
9    SMACS    3042_Visit_1_G235M     /SMACS/G235M/Visit_1/3042/G235M_Visit_1_s03042_x1d_masked_bpx.fits     H1_6565A      6565.0  2.887479e-18   1.917351e-19  1.797300e-18    1.844253e-19      44.470380  4.563214e+00       H1                    $HI6565\AA$  H1_6565A+N2_6585A+N2_6550A         no   6496.000000   6531.000000   6540.000000   6593.000000   6603.000000   6636.000000           NaN           NaN  19653.219310  1.102996e-19  4.041566e-20  3.858952e-21  8.783803e-24 -1.322143e-19   28.110488  1.047322e+01  1.993097  7.335397e-20  19649.683551    9.774778  7.897660e-21  1.171321e+00  1.110313e+00  -53.950580  1.786746e+01   149.105573   1.693684e+01       9.082224          NaN      16.0  161.980354          NaN   351.116791          NaN          NaN         NaN          NaN          NaN          NaN          NaN          NaN          NaN    78.480116   2.706211   45.559847   60.298123            no       no
